WATERSHED,SUBSHED,ACRES,TYPE,WATERSHED_SEGMENTS,SEWER_SYSTEM,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Potomac River,Foundry Branch,1134.54833189,TMDL Subsheds,Potomac River - Upper,MS4,temp_161,{9C89276C-8363-4552-A582-CE4D21E8860B},,,,,45,0,0
Potomac River,Potomac River / Mill Creek,15.76961254,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_123,{400661FB-0792-4DCB-9ACC-9D89B20476DC},,,,,46,0,0
Potomac River,Potomac River / Mill Creek,11.68109563,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_129,{BBCD3155-FA69-493D-B2BB-4971CC317391},,,,,47,0,0
Potomac River,Potomac River / Mill Creek,14.18257361,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_131,{FB258786-8DEE-4960-9085-6C436AE3BE97},,,,,48,0,0
Potomac River,Potomac River / Mill Creek,0.69936119,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_133,{2186B026-0918-4ABE-80A8-F84F857E8175},,,,,49,0,0
Potomac River,Potomac River / Mill Creek,9.75759875,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_132,{EEA02551-218B-4F1B-9472-50BB0F7F194C},,,,,50,0,0
Potomac River,Potomac River / Unknown Creek to Little Falls,38.41105636,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_122,{5832CF1F-D2DF-41BD-BDBB-F5A2D9EC6074},,,,,51,0,0
Anacostia River,Anacostia River,6887.58484845,CSS Subsheds,Anacostia River - Lower,CSS,temp_178,{7262B2A4-09A3-420E-8EAF-BF1B32F278C8},,,,,52,0,0
Potomac River,Dalecarlia Tributary,270.26433705,TMDL Subsheds,Potomac River - Upper,MS4,temp_163,{85F86DE2-5A12-47B2-A0B3-BB8798693AEC},,,,,53,0,0
Rock Creek,Rock Creek,45.31826836,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_7,{15444AD3-42B1-4196-8581-6996F5D59243},,,,,54,0,0
Rock Creek,Melvin Hazen Valley Branch,174.32623743,TMDL Subsheds,Rock Creek - Lower,MS4,temp_155,{3F7FB78F-D61E-4511-AB64-0508D007A1D0},,,,,55,0,0
Rock Creek,Rock Creek,1.23274459,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_96,{6568CD2B-7C66-4339-894E-741CDAA2A139},,,,,56,0,0
Rock Creek,Rock Creek,236.90259399,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_32,{5AC9F4B1-3BF4-436B-AC28-6910F8279BAA},,,,,57,0,0
Rock Creek,Rock Creek,1.97619505,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_97,{9798AEEC-B1E6-4DBD-BAA9-A09E13DE3FF5},,,,,58,0,0
Rock Creek,Rock Creek,5.82446105,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_98,{DF6557AF-CAFB-4FB9-9899-B91AA61BEB3D},,,,,59,0,0
Rock Creek,Rock Creek,3.50211178,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_99,{A8F2C407-1157-46B6-A396-8C670E677C62},,,,,60,0,0
Rock Creek,Rock Creek,368.74598169,Direct Drain - Overland,Rock Creek - Lower,MS4,temp_176,{C2EE02A7-0241-45C6-9A37-1FD4485E38A2},,,,,61,0,0
Rock Creek,Rock Creek,1603.22272181,CSS Subsheds,Rock Creek - Lower,CSS,temp_180,{0E68BFDC-837F-4CD9-AC30-D7D55DC61756},,,,,62,0,0
Rock Creek,Rock Creek,15.74936363,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_8,{36156B38-9433-4125-B910-C498B6218522},,,,,63,0,0
Anacostia River,Anacostia River / To MD - Anacostia,181.56200439,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_48,{ABA5ADA6-73F9-44FF-8340-27E8A6300434},,,,,64,0,0
Potomac River,C & O Canal,613.11270454,TMDL Subsheds,Potomac River - Upper,MS4,temp_159,{86F8F14C-07D4-4C7A-B075-2BFAF1157EEF},,,,,65,0,0
Rock Creek,Rock Creek,9.5467956,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_66,{4BAF6591-97DF-4FAE-B959-A75EC9384E37},,,,,66,0,0
Rock Creek,Klingle Valley Run,171.8523852,TMDL Subsheds,Rock Creek - Lower,MS4,temp_147,{51909FBA-7F14-401C-9B80-3989F90225A7},,,,,67,0,0
Rock Creek,Rock Creek,1.5511781,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_67,{A0EDE6A2-C545-4BFE-B10D-A5BE795511DA},,,,,68,0,0
